route_id,route2,type2,veh_size,carrier,routetype,feature,lim_up,lim_down,buslane,capacity,lot
1256,72,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,10
1581,73,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,4
364,74,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1743,75,bus,СК,"АО ""Третий парк""",ГП,,,минимум,,40,2
1740,76,bus,БК,ПАТ,город,,,,,60,pat
233,77,bus,БК,ПАТ,город,,,,,60,pat
1380,78,bus,СК,"АО ""Третий парк""",город,,,минимум,,40,2
1737,79,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
1180,80,bus,БК,ПАТ,город,,,,,60,pat
1621,81,bus,БК,ПАТ,ГП,,,,,60,pat
1480,83,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,5
1744,84,bus,СК,"АО ""Третий парк""",пригород,,,минимум,,40,2
324,85,bus,БК,"АО ""Третий парк""",город,,частник,,,60,3
332,86,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1582,87,bus,БК,ПАТ,город,,,,,60,pat
1756,88,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,6
1757,89,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,6
1247,90,bus,БК,ПАТ,ГП,кладб,,,,60,pat
1747,91,bus,БК,ПАТ,город,,,,,60,pat
386,92,bus,БК,ПАТ,город,,,,,60,pat
337,93,bus,ОБК/БК,ПАТ,город,,,,,80,pat
1749,94,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,4
1250,95,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,10
1697,96,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,10
1698,97,bus,БК,"ООО ""Вест-Сервис""",город,,частник,,,60,8
1482,98,bus,БК,"ООО ""Домтрансавто""",город,,частник,,,60,4
1750,99,bus,БК,"АО ""Третий парк""",ГП,,частник,,,60,2
446,100,bus,БК,ПАТ,город,,,,,60,pat
